nouns	verbs	adjectives	avgsyllables	avgwordlength	goodPoetry
5	2	3	2	5	yes
2	2	2	2	7	no
4	1	3	2	6	no
6	2	5	2	5	yes
9	5	4	2	5	no
6	3	2	2	6	yes
7	2	2	2	6	yes
6	1	1	2	6	no
8	5	3	2	4	yes
6	4	2	2	5	yes
7	0	1	2	6	yes
7	1	1	2	6	no
5	1	2	2	5	no
6	2	3	2	5	yes
8	1	2	2	5	no
7	3	2	2	4	no
7	2	2	2	5	no
8	1	3	1	4	yes
9	4	3	2	5	yes
